"","query","lat","lon","lat_min","lat_max","lon_min","lon_max","place_id","osm_type","osm_id","place_rank","display_name","class","type","importance","icon"
"1","Gaya, India",24.7964355,85.0079563,24.6364355,24.9564355,84.8479563,85.1679563,"621252","node","245726282","16","Gaya, Gaya Town C.D.Block, Gaya, Bihar, 823001, India","place","city","0.78071501672905","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"2","Himachal Pradesh, India",31.81676015,77.3493205196886,30.3771701,33.2556686,75.5940055,79.0123843,"256820133","relation","364186","8","Himachal Pradesh, India","boundary","administrative","0.92671041328695","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"3","Puri, India",19.8076083,85.8252538,19.7815906,19.8428846,85.7790463,85.8832582,"108232675","way","84730844","16","Puri, Puri (M), Puri, Odisha, 752001, India","place","city","0.69481047076883","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"4","Tamil Nadu, India",10.9094334,78.3665347,8.0768938,13.5625238,76.2328863,80.3592991,"258585903","relation","96905","8","Tamil Nadu, India","boundary","administrative","0.97140229929741","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"5","New Delhi, India",28.6138954,77.2090057,28.4812633,28.6456842,77.0503708,77.2551392,"258989240","relation","2763541","10","New Delhi, Delhi, India","boundary","administrative","0.99480434454149","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"6","Vadodara | Baroda | ??????",22.2973142,73.1942567,22.1373142,22.4573142,73.0342567,73.3542567,"19223540","node","2022807192","16","Vadodara, Vadodara Taluka, Vadodara District, Gujarat, 390001, India","place","city","0.61607665798191","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"7","Himachal Pradesh, India",31.81676015,77.3493205196886,30.3771701,33.2556686,75.5940055,79.0123843,"256820133","relation","364186","8","Himachal Pradesh, India","boundary","administrative","0.92671041328695","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"8","Bengaluru South, India",12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,"259821390","relation","7902476","16","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","boundary","administrative","0.82943482389756","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"9","Bengaluru South, India",12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,"259821390","relation","7902476","16","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","boundary","administrative","0.82943482389756","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"10","Jalandhar, India",31.29201065,75.5680577225391,30.968131,31.617172,75.0761745,75.9570132,"259007027","relation","1948563","10","Jalandhar, Punjab, India","boundary","administrative","0.72282893148684","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"11","Sagarpur, New Delhi",28.6091456,77.0995916,28.6090956,28.6091956,77.0995416,77.0996416,"65677394","node","5818161121","30","Sagarpur, Street No 1, Manglapuri, Dwarka Tehsil, South West Delhi, Delhi, 110046, India","highway","bus_stop","0.221","https://nominatim.openstreetmap.org/ui/mapicons//transport_bus_stop2.p.20.png"
"12","Mumbai, India",19.0759899,72.8773928,18.8939566,19.2701767,72.776333,72.9797315,"302040990","relation","7888990","16","Mumbai, Mumbai Suburban, Maharashtra, India","boundary","administrative","0.87994991019715","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"13","Gujarat, India",22.3850008,71.7452633,20.1195321,24.7112627,68.1856152,74.4757604,"258337624","relation","1949080","8","Gujarat, India","boundary","administrative","0.86148013953244","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"14","Bengaluru South, India",12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,"259821390","relation","7902476","16","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","boundary","administrative","0.82943482389756","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"15","Mumbai, India",19.0759899,72.8773928,18.8939566,19.2701767,72.776333,72.9797315,"302040990","relation","7888990","16","Mumbai, Mumbai Suburban, Maharashtra, India","boundary","administrative","0.87994991019715","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"16","Ludhiana, India",30.9090157,75.851601,30.7490157,31.0690157,75.691601,76.011601,"42304359","node","3203442516","16","Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141008, India","place","city","0.72800462984223","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"17","Cuttack, India",20.4686,85.8792,20.3086,20.6286,85.7192,86.0392,"620318","node","245688972","16","Cuttack, Cuttack (M.Corp.) P.S, Cuttack, Odisha, 753001, India","place","city","0.6932336765165","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"18","AIIMS",28.5668602,77.2078058,28.5618602,28.5718602,77.2028058,77.2128058,"76563867","node","7018301883","30","All India Institute of Medical Sciences, Aurobindo Marg, Yusuf Sarai Market, Defence Colony Teshil, South East Delhi, Delhi, 110029, India","railway","station","0.34458594246921","https://nominatim.openstreetmap.org/ui/mapicons//transport_train_station2.p.20.png"
"19","DOME",7.0961616,2.3090413,7.0561616,7.1361616,2.2690413,2.3490413,"23743554","node","2437643749","18","Domè, Zogbodomey, Zou, Bénin","place","town","0.41506407295925","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_town.p.20.png"
